UF;CIDADE;CIDADE_SIEBEL;ENCERRAMENTO;QTE
PR;COLOMBO;ROCA GRANDE;2021-12-01;167
MG;ARAGUARI;ARAGUARI;2021-05-01;11112
CE;FORTALEZA;FORTALEZA;2020-04-01;32794
BA;JEQUIE;JEQUIE;2020-07-01;3049
RJ;ITAGUAI;ITAGUAI;2021-10-01;7937
SC;ITAJAI;ITAJAI;2021-01-01;5714
MG;JUIZ DE FORA;JUIZ DE FORA;2021-01-01;24963
MS;CAMPO GRANDE;CAMPO GRANDE;2021-05-01;38938
RS;NOVO HAMBURGO;NOVO HAMBURGO;2021-05-01;18509
RJ;CABO FRIO;CABO FRIO;2020-03-01;12754
ES;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;2021-11-01;6184
PA;ANANINDEUA;ANANINDEUA;2020-11-01;9938
RJ;BELFORD ROXO;BELFORD ROXO;2021-02-01;16503
RS;PORTO ALEGRE;PORTO ALEGRE;2020-07-01;9541
MG;SAO LOURENCO;SAO LOURENCO;2021-08-01;1223
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2020-12-01;16067
DF;BRASILIA;BRASILIA;2020-06-01;37944
GO;GOIANIA;GOIANIA;2021-05-01;48414
BA;VITORIA DA CONQUISTA;VITORIA DA CONQUISTA;2020-07-01;4517
PR;RIBEIRAO DO PINHAL;RIBEIRAO DO PINHAL;2022-02-01;386
RJ;NILOPOLIS;NILOPOLIS;2020-05-01;22336
RJ;MANGARATIBA;MANGARATIBA;2019-05-01;9
RN;NATAL;NATAL;2022-01-01;12980
MG;MONTES CLAROS;MONTES CLAROS;2020-03-01;12509
MA;SANTA INES;SANTA INES;2020-11-01;2701
RJ;BARRA DO PIRAI;BARRA DO PIRAI;2021-03-01;443
RS;CANOAS;CANOAS;2020-10-01;27100
PR;SAO JOSE DOS PINHAIS;SAO JOSE DOS PINHAIS;2020-06-01;28983
MT;VARZEA GRANDE;VARZEA GRANDE;2021-05-01;575
PR;CASCAVEL;CASCAVEL;2021-05-01;23982
MG;VARGINHA;VARGINHA;2019-05-01;2670
PR;COLOMBO;SANTA RITA;2020-10-01;56
BA;PAULO AFONSO;PAULO AFONSO;2021-06-01;279
RJ;TERESOPOLIS;TERESOPOLIS;2019-03-01;765
SC;BLUMENAU;BLUMENAU;2020-03-01;4112
BA;LAURO DE FREITAS;LAURO DE FREITAS;2020-12-01;3228
SC;RIO DO SUL;RIO DO SUL;2020-10-01;5239
PA;MARABA;MARABA;2021-01-01;11548
PA;MARABA;MARABA;2020-10-01;8158
AP;AMAPA;AMAPA;2021-04-01;1
MG;SETE LAGOAS;SETE LAGOAS;2021-04-01;23987
PB;CAMPINA GRANDE;CAMPINA GRANDE;2021-08-01;2102
RJ;BARRA MANSA;BARRA MANSA;2020-07-01;2609
SC;ITAJAI;ITAJAI;2022-01-01;17131
MG;ESMERALDAS;ESMERALDAS;2021-08-01;98
DF;BRASILIA;RIACHO FUNDO;2021-07-01;2490
RJ;NILOPOLIS;NILOPOLIS;2021-05-01;27962
MG;BELO HORIZONTE;BELO HORIZONTE;2021-11-01;114739
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2020-01-01;57399
MG;BELO HORIZONTE;BELO HORIZONTE;2020-08-01;39003
RJ;TERESOPOLIS;TERESOPOLIS;2020-01-01;2834
PR;CURITIBA;CURITIBA;2020-11-01;62061
MG;RIBEIRAO DAS NEVES;JUSTINOPOLIS;2021-11-01;30
RS;NOVO HAMBURGO;NOVO HAMBURGO;2020-03-01;4372
MS;DOURADOS;DOURADOS;2020-11-01;24969
MG;NOVA LIMA;NOVA LIMA;2021-03-01;1213
ES;CARIACICA;ITAQUARI;2020-12-01;22
PR;CASCAVEL;CASCAVEL;2021-08-01;28570
SC;BRUSQUE;BRUSQUE;2020-12-01;5460
RJ;RIO DE JANEIRO;RIO DE JANEIRO;2020-12-01;139048
SC;RIO DO SUL;RIO DO SUL;2019-09-01;58
AC;RIO BRANCO;RIO BRANCO;2021-03-01;31628
GO;RIO VERDE;RIO VERDE;2021-09-01;9017
MG;LEOPOLDINA;LEOPOLDINA;2020-03-01;1966
GO;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;2020-06-01;1590
RJ;COMENDADOR LEVY GASPARIAN;COMENDADOR LEVY GASPARIAN;2019-03-01;2
BA;EUNAPOLIS;EUNAPOLIS;2020-07-01;428
BA;BARREIRAS;BARREIRAS;2021-11-01;13103
GO;MORRINHOS;MORRINHOS;2020-09-01;1199
RS;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;2020-03-01;188
RS;PASSO FUNDO;PASSO FUNDO;2021-07-01;13459
PE;PAULISTA;PAULISTA;2021-03-01;295
BA;JUAZEIRO;JUAZEIRO;2020-10-01;5136
PR;PONTA GROSSA;PONTA GROSSA;2021-12-01;34862
MG;BELMIRO BRAGA;FORTALEZA;2019-10-01;1
MG;CATAGUASES;CATAGUASES;2020-09-01;2225
SC;BLUMENAU;BLUMENAU;2021-05-01;21698
GO;MORRINHOS;MORRINHOS;2020-12-01;1523
RJ;MANGARATIBA;MANGARATIBA;2021-11-01;81
TO;PALMAS;SANTO AMARO;2022-02-01;2
PR;PIRAQUARA;PIRAQUARA;2021-05-01;2782
DF;BRASILIA;GUARA;2021-07-01;2
SE;ARACAJU;ARACAJU;2021-12-01;16102
RJ;CABO FRIO;CAMINHO DE BUZIOS;2021-07-01;1581
RJ;DUQUE DE CAXIAS;XEREM;2020-09-01;1
RJ;NOVA IGUACU;NOVA IGUACU;2020-06-01;11148
ES;SERRA;SERRA;2021-02-01;10626
BA;SALVADOR;SALVADOR;2020-12-01;74695
RJ;PETROPOLIS;JARDIM ARARAS;2019-12-01;4
RR;BOA VISTA;BOA VISTA;2020-06-01;22713
RJ;ITAGUAI;ITAGUAI;2021-04-01;7873
MG;VARGINHA;VARGINHA;2019-10-01;3517
SC;ITUPORANGA;ITUPORANGA;2021-12-01;253
CE;FORTALEZA;FORTALEZA;2021-05-01;69896
PR;PINHAIS;PINHAIS;2020-09-01;8118
DF;BRASILIA;SOBRADINHO;2021-08-01;18554
DF;BRASILIA;RIACHO FUNDO;2022-02-01;3473
MG;PATROCINIO;PATROCINIO;2020-01-01;2940
RS;NOVO HAMBURGO;NOVO HAMBURGO;2022-01-01;21695
PI;PARNAIBA;PARNAIBA;2021-05-01;10190
RS;SAO LOURENCO DO SUL;SAO LOURENCO DO SUL;2020-12-01;457
BA;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;2021-01-01;4030
MG;DIVINOPOLIS;DIVINOPOLIS;2018-11-01;825
BA;PAULO AFONSO;PAULO AFONSO;2022-01-01;3350
RJ;NOVA IGUACU;NOVA IGUACU;2021-02-01;18894
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2018-11-01;166
RJ;MANGARATIBA;MANGARATIBA;2019-08-01;26
SC;CRICIUMA;CIDADE MINEIRA;2021-09-01;5
MG;ESMERALDAS;ESMERALDAS;2021-07-01;86
ES;CARIACICA;CARIACICA;2021-08-01;15935
MG;GOVERNADOR VALADARES;GOVERNADOR VALADARES;2019-12-01;2695
BA;JEQUIE;JEQUIE;2021-08-01;6306
MG;SETE LAGOAS;SETE LAGOAS;2020-10-01;20300
PI;PIRIPIRI;PIRIPIRI;2020-08-01;155
RJ;PETROPOLIS;PETROPOLIS;2019-02-01;6725
MA;SAO LUIS;SAO LUIS;2019-04-01;33
PR;COLOMBO;COLONIA FARIA;2021-03-01;2
RS;VIAMAO;VILA ELZA;2021-03-01;1
RS;SANTO ANGELO;SANTO ANGELO;2022-02-01;4819
SC;FLORIANOPOLIS;FLORIANOPOLIS;2019-12-01;57
MG;MONTES CLAROS;MONTES CLAROS;2018-11-01;85
AL;MACEIO;MACEIO;2020-06-01;1130
PR;ALMIRANTE TAMANDARE;ALMIRANTE TAMANDARE;2020-08-01;6584
BA;ITABUNA;ITABUNA;2021-05-01;5359
PB;JOAO PESSOA;JOAO PESSOA;2020-06-01;1103
PE;CARUARU;CARUARU;2020-12-01;8640
RJ;RIO DE JANEIRO;RIO DE JANEIRO;2020-06-01;97990
MA;SANTA INES;SANTA INES;2020-08-01;1701
RN;NATAL;NATAL;2021-05-01;10646
PR;CURITIBA;CURITIBA;2020-04-01;25507
SC;FLORIANOPOLIS;FLORIANOPOLIS;2021-09-01;7756
PR;WENCESLAU BRAZ;WENCESLAU BRAZ;2021-12-01;90
GO;GOIANIA;GOIANIA;2020-03-01;14556
RJ;BARRA DO PIRAI;BARRA DO PIRAI;2020-12-01;433
MG;CONTAGEM;CONTAGEM;2021-07-01;16907
MG;VESPASIANO;VESPASIANO;2020-08-01;5643
MT;PRIMAVERA DO LESTE;PRIMAVERA DO LESTE;2021-10-01;1758
BA;BARREIRAS;BARREIRAS;2021-10-01;13118
RS;VIAMAO;VIAMAO;2021-04-01;25915
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2021-02-01;17559
RS;PELOTAS;PELOTAS;2021-10-01;16472
RJ;CAMPOS DOS GOYTACAZES;CAMPOS DOS GOYTACAZES;2020-08-01;6274
AP;MACAPA;MACAPA;2021-07-01;26888
BA;VITORIA DA CONQUISTA;VITORIA DA CONQUISTA;2021-07-01;8629
BA;ITABUNA;ITABUNA;2021-06-01;5684
GO;RIO VERDE;RIO VERDE;2021-05-01;6764
RJ;PETROPOLIS;PETROPOLIS;2021-02-01;32248
PE;RECIFE;RECIFE;2019-09-01;3549
PE;RECIFE;RECIFE;2019-01-01;854
PE;OLINDA;OLINDA;2019-10-01;5938
PR;PINHAIS;PINHAIS;2020-08-01;6124
SE;ARACAJU;ARACAJU;2021-08-01;14158
PI;TERESINA;TERESINA;2021-11-01;32994
RJ;BELFORD ROXO;BELFORD ROXO;2021-05-01;20550
SC;ITUPORANGA;ITUPORANGA;2021-08-01;46
SC;CRICIUMA;CIDADE MINEIRA;2021-05-01;5
MT;PRIMAVERA DO LESTE;PRIMAVERA DO LESTE;2021-11-01;2059
MS;CAMPO GRANDE;CAMPO GRANDE;2022-02-01;59183
RJ;PETROPOLIS;PETROPOLIS;2018-08-01;1482
DF;BRASILIA;SOBRADINHO;2021-12-01;19185
GO;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;2021-02-01;4714
CE;FORTALEZA;FORTALEZA;2020-01-01;26981
BA;JACOBINA;JACOBINA;2021-12-01;1751
RS;CANOAS;CANOAS;2020-05-01;13401
RJ;MANGARATIBA;PORTO BELO;2021-03-01;188
MS;CAMPO GRANDE;CAMPO GRANDE;2020-03-01;330
AL;ARAPIRACA;ARAPIRACA;2021-08-01;1579
SC;CRICIUMA;CRICIUMA;2022-02-01;7072
MA;SANTA INES;SANTA INES;2021-04-01;3751
RJ;PETROPOLIS;PEDRO DO RIO;2021-12-01;6
RJ;NITEROI;NITEROI;2020-06-01;15331
RO;PORTO VELHO;PORTO VELHO;2020-04-01;32260
MG;BETIM;BETIM;2019-06-01;1482
PE;OLINDA;OLINDA;2020-08-01;14231
MG;BELO HORIZONTE;BELO HORIZONTE;2021-04-01;78264
PR;CURITIBA;CURITIBA;2021-02-01;74946
PI;PIRIPIRI;PIRIPIRI;2019-10-01;96
MG;NOVA LIMA;NOVA LIMA;2021-06-01;1437
DF;BRASILIA;SANTA MARIA;2021-12-01;14
SC;FLORIANOPOLIS;FLORIANOPOLIS;2021-08-01;7488
PR;PONTA GROSSA;PONTA GROSSA;2020-06-01;4285
RJ;TERESOPOLIS;TERESOPOLIS;2020-06-01;3966
MG;BELMIRO BRAGA;FORTALEZA;2020-02-01;1
GO;RIO VERDE;RIO VERDE;2021-01-01;2796
SC;SAO JOSE;SAO JOSE;2021-06-01;108
RJ;NILOPOLIS;NILOPOLIS;2019-12-01;17462
MT;RONDONOPOLIS;RONDONOPOLIS;2022-02-01;32300
SC;BRUSQUE;BRUSQUE;2020-06-01;3174
BA;EUNAPOLIS;EUNAPOLIS;2020-12-01;3270
SC;RIO DO SUL;RIO DO SUL;2020-02-01;3311
MG;GOVERNADOR VALADARES;GOVERNADOR VALADARES;2022-02-01;7674
RJ;MANGARATIBA;MANGARATIBA;2020-08-01;157
RS;ALVORADA;ALVORADA;2021-01-01;28798
BA;JACOBINA;JACOBINA;2022-01-01;1733
AM;MANAUS;MANAUS;2020-09-01;37482
RS;VIAMAO;VILA ELZA;2021-06-01;1
PE;OLINDA;OLINDA;2019-07-01;2727
MT;VARZEA GRANDE;VARZEA GRANDE;2022-01-01;6938
SC;RIO DO SUL;RIO DO SUL;2020-08-01;4877
RJ;MESQUITA;MESQUITA;2020-02-01;1562
TO;GURUPI;GURUPI;2022-02-01;2135
MG;JUIZ DE FORA;JUIZ DE FORA;2020-06-01;16380
RJ;BELFORD ROXO;BELFORD ROXO;2019-11-01;402
MG;BELO HORIZONTE;BELO HORIZONTE;2019-08-01;6521
SC;LAGES;LAGES;2021-05-01;10025
PA;MARABA;MARABA;2020-05-01;1459
MG;NOVA LIMA;SERRA DEL REI;2022-01-01;380
SC;ITAJAI;ITAJAI;2020-10-01;3773
MG;POCOS DE CALDAS;POCOS DE CALDAS;2020-04-01;3868
RS;SAO LEOPOLDO;SAO LEOPOLDO;2020-02-01;5051
MG;DIVINOPOLIS;DIVINOPOLIS;2018-12-01;1529
DF;BRASILIA;NUCLEO BANDEIRANTE;2021-12-01;33
MG;JUIZ DE FORA;JUIZ DE FORA;2019-09-01;3775
RJ;QUEIMADOS;QUEIMADOS;2021-01-01;9802
RJ;BARRA DO PIRAI;BARRA DO PIRAI;2021-08-01;2042
PR;SAO PEDRO DO IVAI;SAO PEDRO DO IVAI;2022-02-01;238
RO;JARU;JARU;2022-01-01;1086
MG;CONTAGEM;CONTAGEM;2020-08-01;4034
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2019-08-01;9220
RJ;PETROPOLIS;CORREIAS;2021-07-01;3212
RJ;VOLTA REDONDA;VOLTA REDONDA;2021-07-01;24363
PA;MARABA;MARABA;2021-09-01;13448
PR;FLORESTA;FLORESTA;2021-09-01;77
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2021-03-01;19548
RJ;NITEROI;NITEROI;2019-01-01;2062
RJ;NITEROI;NITEROI;2021-12-01;29063
ES;SERRA;CARAPINA;2021-09-01;104
PI;PIRIPIRI;PIRIPIRI;2020-06-01;142
MS;DOURADOS;DOURADOS;2021-03-01;28989
MG;UBA;UBA;2019-06-01;3684
CE;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;2021-10-01;6041
PE;PAULISTA;PAULISTA;2020-12-01;30
RJ;PETROPOLIS;JARDIM ARARAS;2021-08-01;407
RS;PELOTAS;PELOTAS;2020-10-01;7040
SC;CHAPECO;CHAPECO;2020-12-01;2663
MG;SAO JOAO DEL REI;SERRA DEL REI;2019-07-01;8
GO;JATAI;JATAI;2021-10-01;2892
BA;ITABUNA;ITABUNA;2022-02-01;7077
SC;LAGES;LAGES;2021-01-01;5802
PE;OLINDA;OLINDA;2020-02-01;10266
RJ;CABO FRIO;CAMINHO DE BUZIOS;2019-12-01;16
PE;CARUARU;CARUARU;2019-09-01;502
RJ;CABO FRIO;UNAMAR;2020-01-01;18
RJ;DUQUE DE CAXIAS;CAMPOS ELYSEOS;2021-07-01;1
RJ;MANGARATIBA;MANGARATIBA;2020-01-01;67
RJ;CABO FRIO;TAMOIOS;2021-02-01;17
RJ;BARRA MANSA;BARRA MANSA;2021-01-01;3266
GO;GOIANIA;GOIANIA;2021-09-01;58091
PR;COLOMBO;SANTA RITA;2022-01-01;35
RS;CANOAS;CANOAS;2022-02-01;45002
DF;BRASILIA;TAGUATINGA;2019-11-01;107
MG;POCOS DE CALDAS;POCOS DE CALDAS;2019-08-01;2156
ES;NOVA VENECIA;NOVA VENECIA;2021-08-01;3597
ES;CARIACICA;CARIACICA;2021-02-01;4305
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2021-07-01;25802
PR;GUARATUBA;GUARATUBA;2021-11-01;220
RS;SANTA MARIA;SANTA MARIA;2020-02-01;1
BA;ILHEUS;ILHEUS;2021-12-01;1073
RS;VIAMAO;VIAMAO;2021-12-01;29411
GO;CIDADE OCIDENTAL;CIDADE OCIDENTAL;2021-02-01;2899
DF;BRASILIA;TAGUATINGA;2021-06-01;23856
RS;CARAZINHO;CARAZINHO;2021-11-01;800
PB;JOAO PESSOA;JOAO PESSOA;2019-11-01;2
RO;CACOAL;CACOAL;2021-10-01;828
RO;JI-PARANA;JI-PARANA;2019-09-01;2
RJ;NOVA IGUACU;NOVA IGUACU;2020-09-01;15756
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2020-07-01;7809
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2019-06-01;4749
PE;CARUARU;CARUARU;2020-07-01;5502
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2019-07-01;4396
SC;ITAJAI;ITAJAI;2020-02-01;1
MG;UBA;UBA;2019-07-01;4249
RJ;CAMPOS DOS GOYTACAZES;CAMPOS DOS GOYTACAZES;2020-06-01;5249
RJ;CASIMIRO DE ABREU;CASIMIRO DE ABREU;2022-01-01;982
MG;DIVINOPOLIS;DIVINOPOLIS;2020-03-01;12474
MG;LEOPOLDINA;LEOPOLDINA;2019-09-01;531
RJ;MESQUITA;MESQUITA;2020-10-01;3366
RJ;DUQUE DE CAXIAS;XEREM;2021-11-01;1
RJ;CAMPOS DOS GOYTACAZES;CAMPOS DOS GOYTACAZES;2019-03-01;702
PR;COLOMBO;COLOMBO;2021-03-01;40428
MG;NOVA LIMA;NOVA LIMA;2019-08-01;1142
SC;GUABIRUBA;GUABIRUBA;2021-12-01;80
ES;VITORIA;VITORIA;2020-01-01;1
CE;MARACANAU;MARACANAU;2022-02-01;344
BA;JUAZEIRO;JUAZEIRO;2020-02-01;3103
RJ;MESQUITA;MESQUITA;2020-03-01;1752
RN;NATAL;NATAL;2020-01-01;2
PR;GUARATUBA;GUARATUBA;2021-10-01;70
RJ;PETROPOLIS;CORREIAS;2020-02-01;6
RJ;RIO DE JANEIRO;RIO DE JANEIRO;2021-02-01;154015
BA;PORTO SEGURO;PORTO SEGURO;2021-12-01;1258
PA;ANANINDEUA;ANANINDEUA;2021-10-01;18826
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2020-12-01;9104
RJ;NILOPOLIS;NILOPOLIS;2018-12-01;1695
RS;PORTO ALEGRE;PORTO ALEGRE;2021-02-01;28770
RJ;MANGARATIBA;MANGARATIBA;2021-04-01;69
MG;POCOS DE CALDAS;POCOS DE CALDAS;2020-10-01;6251
PR;COLOMBO;ROCA GRANDE;2019-09-01;10
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2021-03-01;4749
RJ;ITAGUAI;ITAGUAI;2022-02-01;7954
PR;CURITIBA;CURITIBA;2021-11-01;119711
RJ;CABO FRIO;CABO FRIO;2018-12-01;2422
RJ;NITEROI;NITEROI;2021-08-01;28651
RJ;ITAGUAI;ITAGUAI;2020-10-01;5543
MG;BELO HORIZONTE;BELO HORIZONTE;2020-01-01;17934
MG;BELO HORIZONTE;BELO HORIZONTE;2020-06-01;31416
PR;UNIAO DA VITORIA;UNIAO DA VITORIA;2021-12-01;1114
MG;SETE LAGOAS;SETE LAGOAS;2022-01-01;24550
GO;PLANALTINA;PLANALTINA;2021-12-01;2962
DF;BRASILIA;TAGUATINGA;2020-08-01;63
PE;CARUARU;CARUARU;2019-11-01;1622
RJ;QUEIMADOS;QUEIMADOS;2020-04-01;3855
RO;PORTO VELHO;PORTO VELHO;2021-01-01;57094
RJ;SAO PEDRO DA ALDEIA;SAO PEDRO DA ALDEIA;2020-10-01;1
RJ;NITEROI;NITEROI;2019-12-01;10781
RJ;NOVA IGUACU;NOVA IGUACU;2019-10-01;3397
BA;BARREIRAS;BARREIRAS;2020-09-01;10492
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2019-02-01;100
RJ;NILOPOLIS;NILOPOLIS;2018-11-01;608
BA;VITORIA DA CONQUISTA;VITORIA DA CONQUISTA;2019-10-01;247
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2021-02-01;834
MG;LAGOA SANTA;LAGOA SANTA;2020-03-01;18
RJ;CABO FRIO;CAMINHO DE BUZIOS;2019-09-01;72
RJ;ARRAIAL DO CABO;CAMINHO DE BUZIOS;2018-09-01;224
GO;SANTO ANTONIO DO DESCOBERTO;SANTO ANTONIO DO DESCOBERTO;2022-01-01;1920
SC;CHAPECO;CHAPECO;2021-03-01;3275
RJ;TERESOPOLIS;TERESOPOLIS;2021-11-01;7273
DF;BRASILIA;SANTA MARIA;2021-08-01;12
DF;BRASILIA;TAGUATINGA;2020-11-01;14635
MS;CAMPO GRANDE;CAMPO GRANDE;2021-07-01;46084
DF;BRASILIA;BRASILIA;2019-05-01;3825
BA;JUAZEIRO;JUAZEIRO;2020-08-01;4597
RR;BOA VISTA;BOA VISTA;2019-10-01;4150
PE;OLINDA;OLINDA;2021-07-01;19475
MT;RONDONOPOLIS;RONDONOPOLIS;2020-03-01;12387
PR;PONTA GROSSA;PONTA GROSSA;2019-12-01;646
MA;SANTA INES;SANTA INES;2020-06-01;908
SC;FLORIANOPOLIS;FLORIANOPOLIS;2021-12-01;8176
GO;GOIANIA;GOIANIA;2019-06-01;3322
RS;SAO LEOPOLDO;SAO LEOPOLDO;2021-07-01;19500
RJ;CABO FRIO;CABO FRIO;2019-06-01;6216
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2019-04-01;1887
DF;BRASILIA;CEILANDIA;2022-01-01;47953
RJ;BARRA MANSA;BARRA MANSA;2021-09-01;3402
PR;CURITIBA;CURITIBA;2019-11-01;11487
DF;BRASILIA;SANTA MARIA;2021-02-01;5
GO;NOVO GAMA;NOVO GAMA;2020-11-01;495
AP;MACAPA;MACAPA;2019-09-01;2398
SC;CRICIUMA;CIDADE MINEIRA;2020-10-01;5
PE;RECIFE;RECIFE;2021-01-01;16455
BA;SALVADOR;SALVADOR;2021-03-01;82857
MG;NOVA LIMA;NOVA LIMA;2020-12-01;930
AC;RIO BRANCO;RIO BRANCO;2019-08-01;964
PE;CARUARU;CARUARU;2021-06-01;9609
RJ;QUEIMADOS;QUEIMADOS;2021-09-01;11593
GO;NOVO GAMA;NOVO GAMA;2021-04-01;632
RJ;TERESOPOLIS;TERESOPOLIS;2021-02-01;5460
RJ;SAO JOAO DE MERITI;VILAR DOS TELES;2020-10-01;34573
TO;PALMAS;PALMAS;2020-02-01;6296
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2021-02-01;70625
MS;MARACAJU;MARACAJU;2022-02-01;1645
BA;VITORIA DA CONQUISTA;VITORIA DA CONQUISTA;2021-02-01;6995
CE;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;2022-01-01;5716
RJ;BELFORD ROXO;VILAR DOS TELES;2018-10-01;13206
RS;SANTA MARIA;SANTA MARIA;2020-12-01;10980
RS;PORTO ALEGRE;PORTO ALEGRE;2019-10-01;4863
RJ;RIO DE JANEIRO;RIO DE JANEIRO;2019-03-01;15087
RJ;BELFORD ROXO;BELFORD ROXO;2020-11-01;13610
SC;CRICIUMA;VILA MANAUS;2020-10-01;1
PI;TERESINA;TERESINA;2019-11-01;5653
MT;RONDONOPOLIS;RONDONOPOLIS;2021-07-01;31539
RJ;MANGARATIBA;MANGARATIBA;2020-11-01;47
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2021-04-01;10033
RS;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;2020-08-01;3748
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2021-11-01;4199
RO;VILHENA;VILHENA;2021-08-01;7478
SC;FLORIANOPOLIS;FLORIANOPOLIS;2021-05-01;6526
PA;ANANINDEUA;ANANINDEUA;2021-11-01;18838
SC;ITAJAI;ITAJAI;2021-07-01;10758
RS;CANOAS;CANOAS;2020-09-01;24227
SC;BLUMENAU;BLUMENAU;2019-07-01;1
RJ;VOLTA REDONDA;VOLTA REDONDA;2020-03-01;11124
MG;BETIM;BETIM;2021-04-01;22233
RS;VIAMAO;VIAMAO;2021-02-01;24600
PR;SAO JOSE DOS PINHAIS;SAO JOSE DOS PINHAIS;2021-05-01;52590
RS;PORTO ALEGRE;PORTO ALEGRE;2020-01-01;6549
MT;SINOP;SINOP;2022-01-01;8235
RJ;NITEROI;NITEROI;2019-03-01;3007
AL;ARAPIRACA;ARAPIRACA;2021-12-01;2099
DF;BRASILIA;BRASILIA;2020-08-01;49059
RJ;SAO PEDRO DA ALDEIA;SAO PEDRO DA ALDEIA;2019-07-01;1
DF;BRASILIA;PLANALTINA;2021-12-01;7344
RO;ROLIM DE MOURA;ROLIM DE MOURA;2022-01-01;567
BA;ITABUNA;ITABUNA;2021-01-01;3697
PE;RECIFE;RECIFE;2019-07-01;2851
RJ;TERESOPOLIS;TERESOPOLIS;2020-09-01;4644
CE;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;2021-09-01;6144
GO;NOVO GAMA;NOVO GAMA;2021-10-01;692
PE;CARUARU;CARUARU;2019-08-01;115
RS;GARIBALDI;GARIBALDI;2022-02-01;1042
ES;VITORIA;VITORIA;2021-04-01;11412
MG;POUSO ALEGRE;POUSO ALEGRE;2020-10-01;5524
RJ;VOLTA REDONDA;VOLTA REDONDA;2019-05-01;170
RO;JI-PARANA;JI-PARANA;2021-12-01;10463
RJ;CABO FRIO;CABO FRIO;2018-11-01;1521
RS;VIAMAO;VIAMAO;2020-11-01;22607
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2020-08-01;801
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2020-11-01;69141
RJ;NITEROI;NITEROI;2020-08-01;18588
SC;CRICIUMA;CIDADE MINEIRA VELHA;2021-01-01;4
RJ;NITEROI;NITEROI;2020-02-01;12467
BA;SALVADOR;SALVADOR;2021-06-01;91905
RJ;RIO DE JANEIRO;RIO DE JANEIRO;2021-07-01;193957
RJ;CAMPOS DOS GOYTACAZES;CAMPOS DOS GOYTACAZES;2019-02-01;604
RN;NATAL;NATAL;2022-02-01;13096
RS;SANTA MARIA;SANTA MARIA;2021-08-01;24911
GO;RIO VERDE;RIO VERDE;2022-01-01;9475
SC;CHAPECO;CHAPECO;2021-08-01;4433
RJ;MANGARATIBA;MANGARATIBA;2021-02-01;65
RO;PORTO VELHO;PORTO VELHO;2020-01-01;20701
RS;CAXIAS DO SUL;CAXIAS DO SUL;2021-10-01;33722
ES;NOVA VENECIA;NOVA VENECIA;2020-12-01;3076
RJ;NOVA FRIBURGO;NOVA FRIBURGO;2021-04-01;55
RJ;CAMPOS DOS GOYTACAZES;CAMPOS DOS GOYTACAZES;2020-02-01;4380
RS;VIAMAO;VIAMAO;2019-02-01;1148
PI;FLORIANO;FLORIANO;2021-10-01;609
RO;JI-PARANA;JI-PARANA;2020-10-01;7426
MA;SAO LUIS;SAO LUIS;2020-05-01;33306
RR;BOA VISTA;BOA VISTA;2019-09-01;2504
PR;FOZ DO IGUACU;FOZ DO IGUACU;2020-12-01;1580
MA;SAO LUIS;SAO LUIS;2021-02-01;64599
MS;CAMPO GRANDE;CAMPO GRANDE;2021-08-01;49373
RS;SANTO ANGELO;SANTO ANGELO;2021-07-01;4334
BA;JUAZEIRO;JUAZEIRO;2021-12-01;5158
PR;PINHAIS;PINHAIS;2021-11-01;21770
MT;RONDONOPOLIS;RONDONOPOLIS;2019-05-01;141
BA;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;2020-10-01;2280
MG;ARAGUARI;ARAGUARI;2021-09-01;11099
