UF;CIDADE;CIDADE_SIEBEL;ENCERRAMENTO;QTE
RJ;NOVA IGUACU;NOVA IGUACU;2021-11-01;29050
AP;MACAPA;MACAPA;2021-12-01;29648
MT;CUIABA;CUIABA;2020-04-01;388
AC;RIO BRANCO;RIO BRANCO;2020-12-01;27261
PR;CURITIBA;CURITIBA;2020-08-01;45695
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2020-07-01;46915
RJ;VOLTA REDONDA;VOLTA REDONDA;2021-05-01;22530
DF;BRASILIA;SOBRADINHO;2021-05-01;17931
RJ;ARARUAMA;ARARUAMA;2022-01-01;1737
MT;CUIABA;CUIABA;2020-05-01;641
BA;LAURO DE FREITAS;LAURO DE FREITAS;2021-06-01;4453
SC;LAGES;LAGES;2021-07-01;11778
RJ;SAO GONCALO;SAO GONCALO;2020-12-01;18484
SC;JOINVILLE;JOINVILLE;2021-11-01;17902
BA;JEQUIE;JEQUIE;2019-12-01;603
CE;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;2020-03-01;3169
PE;CARUARU;CARUARU;2019-10-01;1130
MG;POCOS DE CALDAS;POCOS DE CALDAS;2022-01-01;10772
MT;CUIABA;CUIABA;2021-07-01;11251
MG;CATAGUASES;CATAGUASES;2021-04-01;4970
SC;JOINVILLE;JOINVILLE;2020-06-01;1802
RJ;CASIMIRO DE ABREU;CASIMIRO DE ABREU;2021-10-01;504
SP;SAO PAULO;SAO PAULO;2021-03-01;8
MG;MONTES CLAROS;MONTES CLAROS;2022-02-01;23886
MG;DIVINOPOLIS;DIVINOPOLIS;2022-02-01;24917
RJ;SAO GONCALO;SAO GONCALO;2021-02-01;19430
RJ;NILOPOLIS;NILOPOLIS;2021-09-01;28637
MT;SINOP;SINOP;2022-02-01;8257
RJ;PETROPOLIS;PETROPOLIS;2021-08-01;35962
RS;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;2020-06-01;1656
PA;BELEM;BELEM;2021-02-01;49885
ES;NOVA VENECIA;NOVA VENECIA;2021-10-01;3677
MS;DOURADOS;DOURADOS;2021-08-01;32029
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2020-06-01;681
DF;BRASILIA;TAGUATINGA;2021-11-01;26939
MT;CUIABA;CUIABA;2019-12-01;1
RS;CAXIAS DO SUL;CAXIAS DO SUL;2021-11-01;34090
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2020-01-01;254
SC;LAURENTINO;LAURENTINO;2021-06-01;1
ES;VITORIA;VITORIA;2020-07-01;3636
ES;VILA VELHA;VILA VELHA;2022-02-01;5892
RJ;SAO GONCALO;SAO GONCALO;2020-11-01;18100
RJ;MARICA;MARICA;2021-11-01;1086
PR;CURITIBA;CURITIBA;2019-02-01;1215
MG;LEOPOLDINA;LEOPOLDINA;2022-01-01;3661
CE;MARACANAU;MARACANAU;2022-01-01;338
PR;CASCAVEL;CASCAVEL;2020-03-01;290
RS;GARIBALDI;GARIBALDI;2021-10-01;617
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2020-12-01;4398
RS;ALVORADA;ALVORADA;2020-03-01;17243
RS;PORTO ALEGRE;PORTO ALEGRE;2019-08-01;3470
PA;ANANINDEUA;ANANINDEUA;2021-06-01;16623
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2020-07-01;64175
RS;PORTO ALEGRE;PORTO ALEGRE;2020-05-01;8372
SC;JOINVILLE;JOINVILLE;2021-02-01;8987
PR;CURITIBA;CURITIBA;2021-04-01;83753
BA;JUAZEIRO;JUAZEIRO;2020-06-01;4014
RS;PELOTAS;PELOTAS;2021-09-01;15953
RO;PORTO VELHO;PORTO VELHO;2021-09-01;73814
PR;CURITIBA;CURITIBA;2019-08-01;5243
RS;ALVORADA;ALVORADA;2022-01-01;33579
ES;SERRA;JACARAIPE;2021-06-01;2
SP;GUARULHOS;GUARULHOS;2021-11-01;190
MG;NOVA LIMA;SERRA DEL REI;2020-10-01;369
MT;SINOP;SINOP;2021-04-01;7329
AP;MACAPA;MACAPA;2020-02-01;6893
CE;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;2022-02-01;5711
CE;FORTALEZA;FORTALEZA;2021-09-01;75575
MG;LEOPOLDINA;LEOPOLDINA;2021-01-01;2842
PI;PIRIPIRI;PIRIPIRI;2020-12-01;183
RS;SAO LEOPOLDO;SAO LEOPOLDO;2020-08-01;11407
MT;PRIMAVERA DO LESTE;PRIMAVERA DO LESTE;2021-06-01;798
PA;BELEM;BELEM;2020-06-01;32458
MG;JUIZ DE FORA;JUIZ DE FORA;2020-08-01;19648
MG;CATAGUASES;CATAGUASES;2020-07-01;2113
BA;LAURO DE FREITAS;LAURO DE FREITAS;2021-04-01;4079
RS;PORTO ALEGRE;PORTO ALEGRE;2019-04-01;1605
RO;CACOAL;CACOAL;2022-01-01;1372
BA;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;2022-01-01;9056
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2022-02-01;15934
AP;AMAPA;AMAPA;2021-06-01;1
DF;BRASILIA;CEILANDIA;2021-09-01;44113
MG;PATROCINIO;PATROCINIO;2020-07-01;4725
RS;CANOAS;CANOAS;2021-05-01;37882
AM;MANAUS;MANAUS;2020-05-01;26742
GO;ANAPOLIS;ANAPOLIS;2021-08-01;3602
PR;SAO JOSE DOS PINHAIS;BORDA DO CAMPO DE SAO SEBASTIAO;2021-08-01;22
ES;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;2021-02-01;1338
GO;MORRINHOS;MORRINHOS;2020-07-01;648
RS;NOVO HAMBURGO;NOVO HAMBURGO;2021-01-01;15100
PR;MARINGA;MARINGA;2020-08-01;7013
SE;ITABAIANA;ITABAIANA;2022-01-01;327
MA;SAO LUIS;SAO LUIS;2019-10-01;10647
PE;CARUARU;CARUARU;2020-09-01;7326
SC;GAROPABA;GAROPABA;2021-10-01;79
MG;SETE LAGOAS;SETE LAGOAS;2020-03-01;10385
RJ;CABO FRIO;CABO FRIO;2021-10-01;16609
RR;BOA VISTA;BOA VISTA;2019-12-01;7928
RJ;BELFORD ROXO;BELFORD ROXO;2021-09-01;22758
RJ;PETROPOLIS;JARDIM ARARAS;2020-02-01;3
PA;BELEM;BELEM;2020-11-01;43646
MG;VESPASIANO;VESPASIANO;2019-05-01;2439
GO;CIDADE OCIDENTAL;CIDADE OCIDENTAL;2021-03-01;2953
PI;FLORIANO;FLORIANO;2021-08-01;441
RJ;DUQUE DE CAXIAS;XEREM;2021-06-01;1
MG;ARAGUARI;ARAGUARI;2021-01-01;10418
RJ;CABO FRIO;CABO FRIO;2021-05-01;15513
ES;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;2020-11-01;262
PR;COLOMBO;COLOMBO;2020-12-01;36483
